,CONTRICANTE,VICTORIA,EMPATE,DERROTA,GOLES_FAVOR,GOLES_CONTRA,FALTAS,AMARRILLAS,ROJAS,FUERA_LUGAR,ESQUINAS,SALVADAS,PENALES,H/V,POSECION%,YEAR,COMPETICION,JORNADA
89,barcelona,FALSE,TRUE,FALSE,3,3,18,3,0,2,3,3,0,CASA,52,2021/2022,LIGA,13
90,villarreal,FALSE,TRUE,FALSE,1,1,14,1,0,6,3,5,0,CASA,57,2021/2022,LIGA,14
91,alaves,TRUE,FALSE,FALSE,1,2,15,2,0,2,3,4,0,VISITA,58,2021/2022,LIGA,15
92,valencia,FALSE,FALSE,TRUE,1,2,10,3,0,0,6,3,0,CASA,67,2021/2022,LIGA,16
93,mallorca,FALSE,TRUE,FALSE,0,0,11,2,0,0,4,1,0,VISITA,52,2021/2022,LIGA,17
94,espanyol,TRUE,FALSE,FALSE,3,1,13,2,0,6,3,2,0,CASA,52,2021/2022,LIGA,18
95,betis,TRUE,FALSE,FALSE,2,0,11,2,0,0,3,7,1,VISITA,46,2021/2022,LIGA,19
96,real_sociedad,FALSE,FALSE,TRUE,0,1,18,3,0,1,4,2,0,VISITA,59,2021/2022,LIGA,20
97,osasuna,TRUE,FALSE,FALSE,2,0,14,1,0,0,0,0,0,CASA,47,2021/2022,LIGA,21
98,sevilla,FALSE,TRUE,FALSE,2,2,16,4,0,1,0,2,0,VISITA,35,2021/2022,LIGA,22
99,rayo_vallecano,TRUE,FALSE,FALSE,2,0,17,0,0,0,7,0,0,CASA,52,2021/2022,LIGA,23
100,cadiz,FALSE,TRUE,FALSE,0,0,19,2,0,3,3,2,0,VISITA,56,2021/2022,LIGA,24
101,levante,FALSE,TRUE,FALSE,1,1,15,3,0,5,2,2,0,CASA,63,2021/2022,LIGA,25
102,atletico_madrid,FALSE,FALSE,TRUE,0,2,7,3,0,2,9,4,0,VISITA,64,2021/2022,LIGA,26
